"","DHB2015_name","DHB2015_code","AU2017_code","AU2017_name"
"639","Auckland",3,515002,"Point Chevalier East"
"640","Area outside District Health Board",99,619701,"Moutohora Island"
"641","Auckland",3,519810,"Onehunga South West"
"642","Hawke's Bay",10,548832,"Havelock North Central"
"643","Wairarapa",15,579804,"Inland Water-Lake Wairarapa"
"644","Capital and Coast",14,573522,"Grenada North"
"645","Southern",22,608500,"Alexandra"
"646","Counties Manukau",4,521112,"Eden Road-Hill Top"
"647","Lakes",6,541320,"Marotiri"
"648","Bay of Plenty",7,536516,"Palm Beach"
"649","Bay of Plenty",7,534100,"Waihi Beach"
"650","Auckland",3,521801,"Otahuhu North"
"651","Southern",22,612713,"Mossburn"
"652","Counties Manukau",4,522723,"Elsmore Park"
"653","Waitematā",2,507300,"Murrays Bay"
"654","Northland",1,502500,"Western Hills"
"655","West Coast",17,584402,"Karamea"
"656","Bay of Plenty",7,537500,"Gate Pa"
"657","Northland",1,504400,"Te Kopuru"
"658","Area outside District Health Board",99,666670,"Oceanic-Snares Islands"
"659","Waitematā",2,512500,"Mcleod"
"660","Waitematā",2,512902,"Otimai"
"661","Southern",22,602412,"Wingatui"
"662","Auckland",3,516400,"Orakei North"
"663","Waikato",5,527925,"Tokanui"
"664","Southern",22,610010,"Charlton"
"665","Wairarapa",15,579400,"Waingawa"
"666","Waitematā",2,505907,"Stanmore Bay West"
"667","Area outside District Health Board",99,666668,"Oceanic-Bounty Islands"
