"","DHB2015_name","DHB2015_code","AU2017_code","AU2017_name"
"191","MidCentral",12,564232,"Levin South"
"192","Capital and Coast",14,565901,"Paraparaumu Beach North"
"193","Taranaki",9,550700,"Okoki-Okau"
"194","Waitematā",2,505808,"Red Beach East"
"195","Capital and Coast",14,576901,"Kilbirnie East"
"196","Capital and Coast",14,565700,"Paekakariki Hill"
"197","Counties Manukau",4,521160,"Bombay"
"198","Tairāwhiti",8,543901,"Makaraka"
"199","Lakes",6,541334,"Tatua"
"200","Counties Manukau",4,524812,"Weymouth East"
"201","Southern",22,610020,"Waikaia"
"202","Canterbury",18,625102,"Inlets-Banks Peninsula Bays"
"203","Area outside District Health Board",99,627203,"Oceanic-Auckland Islands"
"204","Nelson Marlborough",16,580431,"Spring Creek-Grovetown"
"205","Tairāwhiti",8,544900,"Riverdale"
"206","Counties Manukau",4,524711,"Burbank"
"207","Southern",22,602411,"Wyllies Crossing"
"208","Waitematā",2,508701,"Albany"
"209","Northland",1,500206,"North Cape"
"210","Counties Manukau",4,523814,"Totara Heights"
"211","Lakes",6,541333,"Kinloch"
"212","Hutt Valley",13,568900,"Moera"
"213","Northland",1,504100,"Onerahi"
"214","Tairāwhiti",8,543601,"Tarndale-Rakauroa"
"215","Nelson Marlborough",16,581835,"Waimea Inlet West"
"216","Taranaki",9,554700,"Patea"
"217","Hutt Valley",13,569900,"Petone Central"
"218","Northland",1,502300,"Whau Valley"
"219","Capital and Coast",14,573524,"Newlands East"
"220","Area outside District Health Board",99,616100,"Cape Barrier"
"221","Counties Manukau",4,521201,"Hingaia"
"222","Canterbury",18,590604,"Styx"
"223","Nelson Marlborough",16,580449,"Rapaura"
"224","Lakes",6,541342,"Rangitaiki"
"225","Canterbury",18,589800,"Avonhead West"
"226","Auckland",3,520201,"Ellerslie North"
"227","Area outside District Health Board",99,621500,"Oceanic-Oil Rigs Taranaki"
"228","Auckland",3,517002,"Glen Innes East"
"229","Counties Manukau",4,524200,"Mangere South"
"230","South Canterbury",19,599800,"Timaru Gardens"
"231","Southern",22,609029,"Matukituki"
"232","Canterbury",18,590506,"Highfield Park"
"233","Northland",1,502600,"Kensington"
"234","Southern",22,601400,"Waikouaiti"
"235","Lakes",6,539800,"Pomare"
"236","Canterbury",18,594400,"St Martins"
